"trial_number","ml","mr","pr","pl","rr","rl","revealed_o_l","revealed_x_l","revealed_o_r","revealed_x_r","mag_left","mag_right","info_amb"
263,-8,-9,0.48,0.26,1,1,37,13,25,25,-8,-9,1
264,-7,-45,0.22,0.68,0.02,1,16,34,0,1,-7,-45,0.02
265,33,60,0.26,0.42,0.4,1,28,22,17,3,33,60,0.4
266,60,94,0.16,0.88,1,0.02,0,1,42,8,60,94,0.02
267,72,89,0.8,0.96,1,0.1,0,5,10,40,72,89,0.1
268,11,14,0.24,0.48,1,1,26,24,37,13,11,14,1
269,125,5,0.92,0.04,1,1,48,2,4,46,125,5,1
270,38,42,0.72,0.8,1,1,10,40,14,36,38,42,1
271,80,89,0.68,0.8,1,1,10,40,16,34,80,89,1
272,114,78,0.88,0.56,1,1,22,28,6,44,114,78,1
273,63,58,0.52,0.08,0.1,1,45,5,2,3,63,58,0.1
274,5,25,0.6,0.96,1,1,3,47,20,30,5,25,1
275,-21,-55,0.36,0.66,0.2,1,18,32,6,4,-21,-55,0.2
276,-11,-16,0.4,0.28,1,1,37,13,29,21,-11,-16,1
277,-7,-5,0.76,0.84,1,1,9,41,11,39,-7,-5,1
278,-11,-8,0.64,0.44,0.06,1,27,23,1,2,-11,-8,0.06
279,-40,-50,0.5,0.72,1,0.1,1,4,25,25,-40,-50,0.1
280,-72,-60,0.6,0.36,1,1,31,19,21,29,-72,-60,1
281,-30,-29,0.94,0.88,1,1,6,44,4,46,-30,-29,1
282,-18,-47,0.32,0.84,1,1,8,42,33,17,-18,-47,1
283,-94,-75,0.75,0.4,0.8,1,30,20,15,25,-94,-75,0.8
284,-116,-42,0.94,0.24,1,1,37,13,4,46,-116,-42,1
285,35,47,0.4,0.6,1,0.1,2,3,30,20,35,47,0.1
286,9,18,0.68,0.96,1,0.4,0,20,17,33,9,18,0.4
287,63,60,0.52,0.96,0.8,1,3,47,19,21,63,60,0.8
288,39,52,0.64,0.94,1,1,3,47,18,32,39,52,1
289,17,100,0.12,0.88,0.02,1,6,44,0,1,17,100,0.02
290,54,74,0.34,0.6,1,0.4,5,15,31,19,54,74,0.4
291,93,127,0.4,0.64,1,1,19,31,30,20,93,127,1
292,45,21,0.66,0.36,1,0.02,1,0,16,34,45,21,0.02
293,9,13,0.62,0.48,1,0.2,5,5,20,30,9,13,0.2
294,125,63,0.48,0.04,1,1,48,2,25,25,125,63,1
295,-48,-51,0.74,0.2,0.4,1,40,10,6,14,-48,-51,0.4
296,-30,-42,0.36,0.6,1,0.8,15,25,31,19,-30,-42,0.8
297,-39,-42,0.44,0.32,1,1,34,16,27,23,-39,-42,1
298,-42,-61,0.52,0.76,1,1,12,38,25,25,-42,-61,1
299,-37,-115,0.32,0.82,1,1,10,40,33,17,-37,-115,1
