,resp_r_1,prob_o_l,prob_o_r,mag_left,mag_right,info_amb,revealed_o_r,num_revealed,info_amb_sqrt,resp_amb_1,ambig_r,ambig_l,gain_or_loss_trial,mag_ambig,mag_unambig,prob_x_unambig,prob_x_ambig,prob_x_l,prob_x_r,revealed_o_ambig,revealed_x_ambig,revealed_ambi,prob_x_ambig_bayes,ambiguityLevel,MID
145,0.0,0.62,0.7,0.78,1.04,1.0,15.000000000000002,50.0,1.0,0.0,0,0.0,gain,1.04,0.78,0.38,0.30000000000000004,0.38,0.30000000000000004,15.000000000000002,35.0,1.0,0.3076923076923077,-2.872983346207417,S30
146,1.0,0.36,0.24,0.23,0.07,0.04,1.0,2.0,0.2,1.0,1,0.0,gain,0.07,0.23,0.64,0.76,0.64,0.76,1.0,1.0,0.2,0.5,0.0,S30
147,0.0,0.24,0.16000000000000003,0.86,0.78,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,gain,0.78,0.86,0.76,0.84,0.76,0.84,1.0,0.0,0.1414213562373095,0.6666666666666666,0.0,S30
148,0.0,0.43999999999999995,0.4,0.94,0.98,0.8,26.0,40.0,0.8944271909999159,0.0,1,0.0,gain,0.98,0.94,0.56,0.6,0.56,0.6,26.0,14.0,0.8944271909999159,0.6428571428571429,-4.0990195135927845,S30
149,0.0,0.43999999999999995,0.36,1.12,0.84,1.0,32.0,50.0,1.0,0.0,0,0.0,gain,0.84,1.12,0.56,0.64,0.56,0.64,32.0,18.0,1.0,0.6346153846153846,-4.656854249492381,S30
150,1.0,0.26,0.4,0.03,0.09,1.0,30.0,50.0,1.0,1.0,0,0.0,gain,0.09,0.03,0.74,0.6,0.74,0.6,30.0,20.0,1.0,0.5961538461538461,-4.477225575051661,S30
151,0.0,0.52,0.64,1.25,0.14,1.0,18.0,50.0,1.0,0.0,0,0.0,gain,0.14,1.25,0.48,0.36,0.48,0.36,18.0,32.0,1.0,0.36538461538461536,-3.2426406871192848,S30
152,0.0,0.24,0.5,0.53,0.67,0.4,10.0,20.0,0.6324555320336759,0.0,1,0.0,gain,0.67,0.53,0.76,0.5,0.76,0.5,10.0,10.0,0.6324555320336759,0.5,-2.1622776601683795,S30
153,0.0,0.28,0.06000000000000005,0.31,0.2,0.04,2.0,2.0,0.2,0.0,1,0.0,gain,0.2,0.31,0.72,0.94,0.72,0.94,2.0,0.0,0.2,0.75,-0.41421356237309515,S30
154,0.0,0.12,0.8,0.06,0.75,0.06,1.0,3.0,0.2449489742783178,0.0,1,0.0,gain,0.75,0.06,0.88,0.19999999999999996,0.88,0.19999999999999996,1.0,2.0,0.2449489742783178,0.4,0.0,S30
155,0.0,0.76,0.28,0.38,0.31,1.0,36.0,50.0,1.0,0.0,0,0.0,gain,0.31,0.38,0.24,0.72,0.24,0.72,36.0,14.0,1.0,0.7115384615384616,-5.0,S30
156,0.0,0.88,0.52,1.25,0.1,1.0,24.0,50.0,1.0,0.0,0,0.0,gain,0.1,1.25,0.12,0.48,0.12,0.48,24.0,26.0,1.0,0.4807692307692308,-3.8989794855663558,S30
157,0.0,0.4,0.19999999999999996,0.26,0.28,0.1,3.0,5.0,0.31622776601683794,0.0,1,0.0,gain,0.28,0.26,0.6,0.8,0.6,0.8,3.0,2.0,0.31622776601683794,0.5714285714285714,-0.7320508075688772,S30
